SEZ2011,COMUNE,offerta_colonnine_500m_originale,distanza_colonnina_piu_vicina_m,gap_score_originale,gap_score_simulato,colonnine_necessarie_sotto_soglia,delta_gap
791180000007,Sant'Andrea Apostolo dello Ionio,0.0,4367.647023217438,0.7567581607297976,0.32702369649097995,1,-0.42973446423881767
791600000138,Lamezia Terme,0.0,1451.5269181511312,0.7556903612336836,0.5087054518379138,3,-0.24698490939576978
791330000007,Simeri Crichi,0.0,3101.728352975149,0.7527668993699983,0.3693229862600178,1,-0.3834439131099805
790590000025,Girifalco,0.0,3121.0673434487626,0.7497698459194186,0.36540387351482073,1,-0.3843659724045979
791140000009,San Pietro a Maida,0.0,5867.760687152907,0.7461465424940911,0.2904703223888695,1,-0.4556762201052216
790080000006,Badolato,0.0,9266.861297829586,0.7449373317133564,0.2698877656151246,1,-0.4750495660982318
791600000018,Lamezia Terme,0.0,2037.447464282975,0.7430268363986875,0.43274450444002577,2,-0.31028233195866173
791380000004,Soveria Mannelli,0.0,3597.7563348697586,0.7421177638546985,0.336645435734343,1,-0.4054723281203555
791600000025,Lamezia Terme,0.0,1862.6569224533273,0.7412664102023914,0.4473416121463636,2,-0.2939247980560278
790120000003,Botricello,0.0,5918.006419661896,0.7391683284897563,0.2829408929689732,1,-0.45622743552078315
790360000003,Cropani,0.0,5149.0795557338215,0.7388941637542676,0.2932090837991729,1,-0.44568507995509477
791270000001,Sellia Marina,0.0,2931.7003016080503,0.7358754657193073,0.3616261720542442,1,-0.3742492936650631
791170000004,Santa Caterina dello Ionio,0.0,5216.493664266333,0.7342564508076316,0.2874141070743159,1,-0.44684234373331566
791600000027,Lamezia Terme,0.0,1556.250262250151,0.7338812780116997,0.47373068942330165,2,-0.260150588588398
790230000120,Catanzaro,0.0,2078.02855262649,0.7300891468282026,0.4162830765323644,1,-0.3138060702958382
790230000102,Catanzaro,0.0,1286.4524094926362,0.7296620270297569,0.5068267019136699,3,-0.22283532511608706
790680000001,Magisano,0.0,3909.3765809233896,0.7284239568031814,0.3119504079282669,1,-0.4164735488749145
790170000002,Caraffa di Catanzaro,0.0,4194.639576256889,0.7280343542843289,0.30301552349591776,1,-0.4250188307884112
791330000002,Simeri Crichi,0.0,5975.69062290101,0.7276707252667335,0.27080549599286596,1,-0.4568652292738675
791600000034,Lamezia Terme,0.0,1489.3506470708746,0.7261469465263328,0.4743482815642974,2,-0.2517986649620354
790120000008,Botricello,0.0,5885.939069329717,0.7242797403804252,0.26838418848681267,1,-0.4558955518936125
