SEZ2011,COMUNE,gap_score,popolazione_eta_guida_stimata
151660000129,Paderno Dugnano,0.5623061005982564,155.0
151660000082,Paderno Dugnano,0.5620607953086085,79.0
151840000005,Robecco sul Naviglio,0.5620521374748562,65.0
151150000005,Lacchiarella,0.5616885084572606,263.0
151660000200,Paderno Dugnano,0.5614085718326036,430.0
150600000048,Cassina de' Pecchi,0.5613364232180014,270.0
150270000043,Bollate,0.560790979691608,694.0
151830000002,Robecchetto con Induno,0.5606409105732351,609.0
151400000039,Melegnano,0.5606322527394829,342.0
151840000020,Robecco sul Naviglio,0.560104124880594,305.0
150770000019,Cinisello Balsamo,0.5600925811022577,187.0
150770000003,Cinisello Balsamo,0.5599280822609645,271.0
150320000089,Bresso,0.5592325696161982,249.0
150700000028,Cernusco sul Naviglio,0.5586611525885479,206.0
151660000001,Paderno Dugnano,0.557596239037018,201.0
151460006078,Milano,0.557593353092434,210.0
151590000038,Opera,0.5571864349060769,248.0
150400000002,Bussero,0.5571027425131383,684.0
150700000029,Cernusco sul Naviglio,0.5569093842260041,423.0
152130000011,Solaro,0.5562715904729199,309.0
151730000019,Pieve Emanuele,0.556060916518281,558.0
150860000037,Cormano,0.5559108473999083,273.0
151780000014,Pozzuolo Martesana,0.5558473566190583,353.0
151840000047,Robecco sul Naviglio,0.5546323739491554,123.0
151400000006,Melegnano,0.5541475352590279,650.0
152110000153,Settimo Milanese,0.5538243094656097,478.0
152060000016,Senago,0.5537406170726709,517.0
151460004436,Milano,0.5534981977276072,181.0
151700000031,Pero,0.5534722242263503,124.0
152000000003,Santo Stefano Ticino,0.5530249028158162,657.0
151300000071,Magenta,0.5529758417578865,358.0
151660000372,Paderno Dugnano,0.5527189926899023,155.0
151460003224,Milano,0.552707448911566,212.0
151030000092,Gaggiano,0.5522312680551907,108.0
150410000002,Busto Garolfo,0.5520177081559681,346.0
152110000140,Settimo Milanese,0.551547299188761,278.0
151460002750,Milano,0.5513366252341223,256.0
150770000112,Cinisello Balsamo,0.5512875641761927,213.0
150770000033,Cinisello Balsamo,0.5502457381813355,273.0
150140000001,Basiano,0.5501591598438127,840.0
152480000014,Villa Cortese,0.5496541195415965,461.0
150770000401,Cinisello Balsamo,0.5491923684081419,340.0
150590000086,Cassano d'Adda,0.5489845803980872,185.0
151660000232,Paderno Dugnano,0.548851826947219,130.0
152110000014,Settimo Milanese,0.5480524202974255,570.0
151060000020,Gessate,0.548009131128664,207.0
151590000006,Opera,0.5479802716828232,342.0
151460001265,Milano,0.5478965792898844,148.0
151660000117,Paderno Dugnano,0.5474290562672615,219.0
151030000145,Gaggiano,0.5472616714813842,72.0
150860000049,Cormano,0.5457003754613904,295.0
151180000034,Legnano,0.5453569480558834,480.0
151460003060,Milano,0.5452328524387675,233.0
151460004976,Milano,0.5449760033707832,327.0
151660000061,Paderno Dugnano,0.5449384860911901,264.0
150960000007,Cuggiono,0.5448865390886763,357.0
151300000017,Magenta,0.544589286796515,135.0
150090000065,Arese,0.5439226335975897,439.0
151950000113,San Giuliano Milanese,0.5438851163179965,247.0
151400000040,Melegnano,0.5436138375270918,613.0
152110000124,Settimo Milanese,0.5435301451341532,205.0
150600000019,Cassina de' Pecchi,0.5435214873004008,533.0
151500000001,Morimondo,0.5434464527412144,265.0
151300000090,Magenta,0.5431751739503098,173.0
151660000028,Paderno Dugnano,0.5427018790385187,395.0
150700000019,Cernusco sul Naviglio,0.5426672477035097,413.0
151300000321,Magenta,0.5419053583333093,106.0
151660000015,Paderno Dugnano,0.541740859492016,242.0
150410000010,Busto Garolfo,0.5416571670990774,243.0
151150000006,Lacchiarella,0.5409327950084701,255.0
151460002844,Milano,0.5408895058397089,86.0
151460002567,Milano,0.5404248687616702,329.0
151460003223,Milano,0.5400670116332427,497.0
151060000003,Gessate,0.5399833192403041,120.0
150700000006,Cernusco sul Naviglio,0.5394003584343174,180.0
151810000019,Rescaldina,0.5391579390892536,360.0
151810000020,Rescaldina,0.5390944483084037,277.0
151460002565,Milano,0.5387741084595694,327.0
151460004233,Milano,0.5380555082581304,194.0
151180000041,Legnano,0.538046850424378,428.0
151460003112,Milano,0.5380035612556168,349.0
151570000119,Novate Milanese,0.5375389241775779,288.0
151300000080,Magenta,0.5375360382329939,276.0
152020000003,San Zenone al Lambro,0.537134891935805,362.0
151660000004,Paderno Dugnano,0.53697616498368,188.0
151080000009,Gorgonzola,0.5368924725907412,531.0
151300000304,Magenta,0.5368607272003163,861.0
150770000121,Cinisello Balsamo,0.5361276972759569,285.0
151050000014,Garbagnate Milanese,0.5350223805002496,346.0
150440000001,Cambiago,0.5344480775280153,539.0
151570000032,Novate Milanese,0.5340353874524901,162.0
151300000013,Magenta,0.5339892123391448,123.0
150770000502,Cinisello Balsamo,0.5332071213568557,187.0
150770000241,Cinisello Balsamo,0.5330570522384829,288.0
151460004433,Milano,0.5330426225155624,238.0
151590000023,Opera,0.5324221444299826,588.0
151400000038,Melegnano,0.5324077147070623,244.0
151660000020,Paderno Dugnano,0.5317670350093937,113.0
151460001266,Milano,0.5317526052864733,283.0
151460003066,Milano,0.5314062919363822,209.0
152110000120,Settimo Milanese,0.5313889762688777,190.0
150720000013,Cerro Maggiore,0.5309531986366798,428.0
151460004446,Milano,0.5307973576291388,223.0
151660000295,Paderno Dugnano,0.530302418132967,261.0
152370000008,Vignate,0.5302259406014886,524.0
151460002751,Milano,0.5301523490145943,262.0
151180000035,Legnano,0.5294784809542088,400.0
150970000047,Cusago,0.5293399556141724,116.0
150600000053,Cassina de' Pecchi,0.5289647828182403,410.0
150960000008,Cuggiono,0.528485716017281,392.0
151300000040,Magenta,0.5277267125916647,147.0
151840000038,Robecco sul Naviglio,0.527605502919133,129.0
150770000234,Cinisello Balsamo,0.5272649614582101,179.0
151660000348,Paderno Dugnano,0.5269417356647919,196.0
150770000398,Cinisello Balsamo,0.5268493854381009,274.0
150320000087,Bresso,0.5265521331459393,168.0
150720000006,Cerro Maggiore,0.5262693105766982,449.0
151660000272,Paderno Dugnano,0.5259836020628732,252.0
151660000231,Paderno Dugnano,0.5255939995440208,182.0
151890000097,Rozzano,0.5255535963198434,417.0
151030000151,Gaggiano,0.525351580198957,134.0
151300000264,Magenta,0.5248292242292364,92.0
152370000007,Vignate,0.524540629770827,547.0
150780000005,Cisliano,0.5245031124912339,228.0
151460004979,Milano,0.5243732449849499,175.0
151050000029,Garbagnate Milanese,0.5243674730957816,563.0
151570000082,Novate Milanese,0.5241567991411429,346.0
151840000017,Robecco sul Naviglio,0.5236921620631041,190.0
150770000038,Cinisello Balsamo,0.5235218913326426,252.0
151660000024,Paderno Dugnano,0.523501689720554,233.0
151660000055,Paderno Dugnano,0.5233545065467653,280.0
150770000437,Cinisello Balsamo,0.5232621563200743,186.0
152060000005,Senago,0.5232159812067289,467.0
151660000014,Paderno Dugnano,0.5229793337508333,325.0
150870000009,Cornaredo,0.5227513441286901,815.0
150700000035,Cernusco sul Naviglio,0.5225724155644764,816.0
151300000041,Magenta,0.5222636194939785,155.0
151030000091,Gaggiano,0.521371862617494,77.0
150700000016,Cernusco sul Naviglio,0.5212044778316167,389.0
151300000279,Magenta,0.5211525308291031,211.0
150440000004,Cambiago,0.5206994375294005,305.0
151300000004,Magenta,0.5205060792422664,143.0
151400000003,Melegnano,0.5205031932976822,541.0
151460003064,Milano,0.5200212405521389,157.0
150260000008,Boffalora sopra Ticino,0.5197615055395706,251.0
152050000042,Segrate,0.5195739191416047,613.0
151460003062,Milano,0.5195681472524365,182.0
150270000049,Bollate,0.5193921046328069,390.0
150700000050,Cernusco sul Naviglio,0.519242035514434,422.0
150720000011,Cerro Maggiore,0.5191323696202386,365.0
151700000088,Pero,0.5189996161693703,502.0
150770000306,Cinisello Balsamo,0.5186417590409429,115.0
151460004259,Milano,0.5185696104263406,280.0
150770000060,Cinisello Balsamo,0.5183849099729587,258.0
150820000002,Colturano,0.5183704802500382,510.0
151570000101,Novate Milanese,0.5183531645825337,159.0
151570000092,Novate Milanese,0.5182463846329223,308.0
152060000023,Senago,0.5181843368243644,1474.0
151080000045,Gorgonzola,0.5180357106782836,198.0
151570000065,Novate Milanese,0.5179722198974335,133.0
151030000077,Gaggiano,0.5176951692173607,69.0
151300000073,Magenta,0.5174873812073061,400.0
151730000025,Pieve Emanuele,0.5170458316859401,493.0
150770000109,Cinisello Balsamo,0.5170025425171787,290.0
151660000063,Paderno Dugnano,0.5168986485121513,328.0
151810000010,Rescaldina,0.5168048553131683,733.0
151780000002,Pozzuolo Martesana,0.5167832107287875,479.0
152130000009,Solaro,0.5167774388396194,538.0
151460004975,Milano,0.5166533432225034,480.0
151660000121,Paderno Dugnano,0.5166360275549988,117.0
152430000088,Vittuone,0.5163705206532624,193.0
151570000003,Novate Milanese,0.5162521969253147,289.0
150700000032,Cernusco sul Naviglio,0.5157760160689394,422.0
151300000260,Magenta,0.515640376673487,107.0
